GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mnotes,com.mediscreen.mnotes,MnotesApplication,5,3,0,0,2,1,1,1,1,1
mnotes,com.mediscreen.mnotes.service.implementation,NoteServiceImpl,0,113,0,0,0,17,0,10,0,10
mnotes,com.mediscreen.mnotes.repository,CustomNoteRepositoryImpl,0,29,0,0,0,5,0,2,0,2
mnotes,com.mediscreen.mnotes.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
mnotes,com.mediscreen.mnotes.model,Note,0,12,0,0,0,5,0,1,0,1
mnotes,com.mediscreen.mnotes.controller,NoteController,0,64,0,0,0,10,0,8,0,8
mnotes,com.mediscreen.mnotes.configuration,SwaggerConfig,0,17,0,0,0,7,0,2,0,2
